,humour,sarcasm,offensive,motivational,overall_sentiment
211,2,0,1,0,2
212,2,1,2,0,0
213,0,0,0,0,0
214,1,0,0,0,1
215,1,0,1,0,1
216,1,0,1,0,1
217,2,0,1,0,1
218,1,0,0,0,0
219,2,1,2,0,1
220,2,0,1,0,0
221,2,1,2,0,1
222,0,1,1,0,0
223,1,0,1,1,0
224,1,0,0,0,0
225,1,0,1,0,1
226,2,0,0,1,1
227,2,1,2,1,2
228,3,1,2,0,0
229,1,0,1,0,1
230,1,0,1,0,0
231,1,0,1,0,0
232,1,0,2,1,0
233,2,1,2,1,2
234,0,0,0,0,-1
235,2,0,0,0,2
236,1,0,0,0,1
237,0,1,0,1,2
238,1,0,0,0,0
239,2,0,0,0,2
240,1,1,0,0,1
241,2,0,0,0,1
242,2,0,2,1,1
243,1,0,0,0,1
244,1,0,1,0,1
245,1,0,1,0,1
246,1,0,0,1,1
247,1,0,1,0,0
248,0,0,0,1,0
249,1,0,0,0,0
250,2,1,0,0,0
251,1,0,1,0,1
252,3,0,2,0,1
253,2,1,2,0,1
254,0,0,0,0,1
255,1,0,0,0,0
256,1,0,0,0,0
257,1,1,0,0,0
258,2,1,2,0,2
259,0,0,0,0,0
260,2,0,1,0,0
261,3,0,2,0,-2
262,3,0,0,0,2
263,2,0,1,0,2
264,1,0,1,1,-1
265,2,0,0,0,1
266,1,0,0,0,0
267,0,0,0,1,1
268,1,0,0,0,2
269,0,0,0,0,0
270,1,1,2,0,0
271,1,0,2,1,1
272,0,1,2,0,0
273,0,0,0,0,1
274,2,0,2,1,2
275,1,0,1,0,0
276,0,0,1,0,-2
277,0,0,0,0,0
278,1,1,2,1,0
279,2,1,1,1,1
280,1,0,0,1,1
281,1,1,1,0,0
282,0,0,1,0,0
283,0,0,1,1,0
284,2,1,1,1,1
285,1,0,1,0,1
286,1,0,1,1,0
287,0,1,2,0,-2
288,2,0,0,0,1
289,1,0,1,0,1
290,1,1,1,1,1
291,1,0,1,0,1
292,2,1,2,1,2
293,0,0,0,1,2
294,0,0,0,1,1
295,2,1,1,0,1
296,1,0,0,0,1
297,2,0,2,1,1
298,0,0,0,1,0
299,3,1,1,0,2
300,1,0,1,1,1
301,2,1,1,1,1
302,1,0,0,0,1
303,0,0,1,0,2
304,1,1,2,1,2
305,2,0,0,0,0
306,2,0,2,0,0
307,0,0,1,0,0
308,0,0,0,0,-1
309,3,0,2,1,0
310,2,0,0,0,0
311,3,0,1,1,1
312,2,0,1,0,2
313,1,0,1,0,0
314,2,0,0,0,0
315,3,0,0,1,1
316,3,0,1,1,1
317,2,0,1,0,1
318,1,0,0,0,0
319,0,1,2,0,1
320,1,0,1,0,1
321,2,0,0,0,1
322,1,1,0,0,0
323,1,0,1,1,1
324,2,0,2,0,1
325,3,1,3,0,2
326,0,0,0,0,1
327,3,0,0,1,1
328,1,0,0,0,1
329,2,1,0,0,1
330,3,1,1,1,-1
331,2,1,1,1,1
332,1,0,1,0,1
333,0,0,0,0,0
334,1,0,0,0,1
335,1,0,1,0,1
336,2,1,1,0,0
337,2,1,1,0,1
338,2,0,2,0,1
339,0,0,0,0,0
340,2,1,1,0,2
341,1,0,1,1,-1
342,2,0,0,0,0
343,0,0,0,0,0
344,0,0,0,0,-2
345,0,0,0,1,0
346,0,0,0,0,1
347,2,0,0,0,2
348,1,1,1,1,1
349,1,0,2,0,1
350,0,1,0,0,1
351,3,1,1,0,2
352,0,1,0,0,1
353,0,0,0,1,2
354,2,1,0,1,0
355,1,0,2,0,1
356,0,0,0,1,0
357,1,0,0,1,2
358,3,0,3,1,1
359,3,0,1,0,0
360,0,0,0,0,1
361,0,0,0,0,0
362,0,0,0,1,0
363,1,0,2,0,1
364,1,0,1,1,1
365,2,0,2,1,1
366,3,0,1,0,0
367,0,0,0,0,0
368,3,0,0,0,2
369,2,1,0,0,1
370,1,0,1,1,-1
371,0,0,1,1,0
372,1,0,1,1,0
373,0,0,2,0,1
374,0,0,0,1,1
375,0,0,1,1,0
376,1,1,3,1,0
377,1,0,0,0,0
378,1,0,0,0,0
379,2,0,2,1,1
380,1,0,0,1,2
381,1,0,0,0,1
382,0,1,0,1,1
383,1,1,1,0,0
384,2,0,1,0,1
385,2,0,0,0,1
386,2,1,2,1,2
387,1,0,1,1,1
388,2,0,0,0,1
389,2,1,2,1,1
390,3,0,0,0,1
391,0,0,0,0,0
392,0,0,0,0,-1
393,1,1,2,0,0
394,2,1,2,1,1
395,0,1,1,1,1
396,2,1,2,0,1
397,1,0,0,0,0
398,0,0,0,1,0
399,2,0,1,1,1
400,0,1,3,0,2
401,0,0,0,0,0
402,2,1,0,0,2
403,1,0,1,0,1
404,2,1,2,0,0
405,0,0,0,0,0
406,0,0,2,0,0
407,2,0,1,1,0
408,1,0,0,0,0
409,2,0,0,0,0
410,1,0,1,0,2
411,1,0,1,0,2
412,2,0,0,0,2
413,3,0,3,0,0
414,2,0,2,1,-1
415,0,0,3,0,1
416,3,1,1,1,1
417,0,0,0,0,-1
418,2,0,0,0,2
419,0,0,0,0,1
420,0,0,1,1,1
421,1,0,1,0,2
422,3,0,0,0,2
423,2,0,1,1,1
424,1,0,1,0,0
425,1,0,0,1,1
426,1,1,0,1,0
427,1,1,1,1,0
428,3,0,0,0,0
429,0,0,0,1,1
430,1,0,0,1,2
431,1,0,0,0,1
432,3,0,0,0,2
433,2,0,1,0,0
434,2,1,2,0,1
435,2,1,0,0,1
436,1,0,0,0,1
437,3,0,0,0,2
438,1,0,0,0,0
439,1,0,0,0,2
440,2,0,1,0,-1
441,1,0,0,0,0
442,0,1,0,1,2
443,2,1,2,1,2
444,1,1,1,0,0
445,1,1,0,0,2
446,2,0,0,0,1
447,1,0,1,1,0
448,3,0,0,0,2
449,1,1,1,1,0
450,2,0,1,1,0
451,0,1,1,0,-1
452,1,0,1,1,0
453,1,0,1,0,0
454,1,0,0,0,0
455,2,0,1,0,1
456,0,0,0,1,1
457,1,0,1,1,0
458,1,1,0,0,1
459,0,0,1,0,2
460,1,1,2,1,1
461,1,0,1,1,2
462,1,1,1,1,1
463,2,0,0,0,0
464,2,0,2,1,2
465,1,0,1,1,0
466,1,0,0,0,2
467,2,0,0,0,1
468,3,1,1,0,-2
469,2,0,1,1,2
470,3,1,1,1,-2
471,1,1,1,1,1
472,2,0,0,0,0
473,2,1,0,1,1
474,3,0,1,1,-1
475,2,0,0,0,1
476,3,0,0,0,1
477,2,0,1,0,2
478,1,0,0,0,0
479,2,0,2,1,1
480,2,1,1,1,1
481,2,1,1,1,2
482,1,1,1,1,1
483,1,1,2,0,1
484,2,0,0,1,1
485,0,0,0,0,-1
486,1,1,2,0,0
487,1,0,0,0,1
488,0,0,1,0,-1
489,3,0,1,0,1
490,2,0,0,0,0
491,1,0,0,0,1
492,2,0,0,0,0
493,0,0,0,0,1
494,1,1,1,1,0
495,2,0,3,1,0
496,2,0,1,0,1
497,2,0,1,0,1
498,2,0,1,1,1
499,2,1,1,0,1
500,0,0,0,0,-1
501,1,0,2,1,1
502,0,1,2,0,0
503,3,1,2,1,1
504,2,0,2,0,1
505,0,0,0,0,1
506,3,1,1,1,0
507,2,1,2,0,2
508,2,0,1,0,1
509,2,1,2,1,1
510,0,0,0,0,2
511,2,0,1,0,1
512,1,0,2,0,0
513,0,0,1,1,-2
514,1,0,1,1,1
515,2,0,2,0,1
516,2,0,0,0,1
517,2,0,2,1,0
518,2,1,1,0,1
519,2,0,0,1,2
520,2,0,0,0,0
521,1,0,0,0,0
522,2,1,0,0,0
523,1,1,0,0,1
524,2,0,0,0,1
525,2,0,0,0,0
526,1,0,0,0,0
527,1,0,1,1,1
528,2,0,0,0,1
529,2,0,1,1,2
530,2,0,1,0,2
531,2,0,0,0,1
532,2,0,2,1,0
533,0,1,2,0,2
534,0,0,0,0,0
535,2,0,1,1,1
536,3,0,0,0,1
537,3,1,1,0,0
538,2,0,0,0,2
539,1,1,1,1,0
540,2,1,2,0,1
541,3,0,0,0,2
542,1,0,1,1,2
543,2,0,0,0,1
544,2,0,0,0,1
545,2,1,0,0,2
546,0,0,1,0,-1
547,2,0,2,1,-1
548,0,0,0,1,0
549,1,0,0,0,0
550,0,0,1,0,1
551,0,0,1,0,0
552,2,0,1,1,0
553,0,0,0,0,0
554,2,0,0,0,0
555,1,0,1,1,0
556,1,0,2,1,1
557,1,0,2,1,1
558,1,0,0,1,0
559,1,1,1,1,1
560,1,0,1,0,-1
561,1,0,1,0,1
562,0,1,1,1,-1
563,2,1,1,1,1
564,3,1,2,0,1
565,3,1,0,1,1
566,2,0,2,1,1
567,2,0,2,1,1
568,2,0,2,0,2
569,2,0,1,0,1
570,2,0,1,0,2
571,2,0,0,0,1
572,2,1,0,0,1
573,2,0,1,1,1
574,2,1,2,0,1
575,1,0,1,0,0
576,0,1,2,0,0
577,0,0,1,0,1
578,2,1,2,0,1
579,1,0,1,0,1
580,2,1,3,1,2
581,1,0,2,0,1
582,0,1,2,0,2
583,3,0,3,0,0
584,1,0,1,0,1
585,2,0,0,0,1
586,3,1,1,1,1
587,0,0,2,0,-1
588,1,0,0,0,0
589,2,1,2,0,0
590,1,0,1,1,1
591,2,1,2,1,2
592,2,1,1,0,-1
593,1,0,1,1,1
594,2,1,2,1,1
595,1,0,1,0,0
596,1,0,1,0,2
597,2,0,0,0,1
598,2,0,1,0,1
599,1,1,2,1,-1
600,1,0,1,0,2
601,0,0,0,0,0
602,2,0,3,1,1
603,1,0,0,0,0
604,1,1,0,0,0
605,1,0,1,1,1
606,1,1,0,0,2
607,2,1,1,1,2
608,2,1,3,0,1
609,1,0,1,1,0
610,2,0,1,1,2
611,2,0,0,1,1
612,2,0,0,1,1
613,1,0,1,0,-1
614,0,0,2,1,1
615,1,0,1,1,2
616,0,0,0,0,0
617,2,1,0,0,1
618,3,1,2,0,1
619,1,0,1,0,1
620,3,0,0,0,2
621,1,0,1,0,1
622,3,0,0,1,2
623,1,0,0,0,0
624,2,0,0,0,1
625,1,0,0,0,0
626,2,0,1,1,2
627,2,0,0,0,1
628,2,0,1,0,1
629,2,0,0,0,1
630,1,0,0,0,0
631,2,0,0,0,1
632,1,0,1,0,1
633,2,0,0,0,2
634,1,0,0,0,1
635,1,0,1,0,0
636,2,1,1,1,1
637,2,0,2,1,1
638,0,0,1,1,0
639,2,0,1,0,-1
640,0,1,1,1,2
641,1,0,0,0,0
642,2,0,1,1,1
643,3,0,1,0,1
644,1,0,1,0,-1
645,1,1,1,1,1
646,1,0,0,0,0
647,1,0,1,0,1
648,1,0,1,1,0
649,1,0,1,0,0
650,2,1,2,0,1
651,3,0,1,0,1
652,2,0,1,0,0
653,1,0,0,0,0
654,1,0,1,0,1
655,2,0,1,1,1
656,2,1,1,1,1
657,1,0,1,0,0
658,2,1,1,0,1
659,0,0,0,1,-1
660,1,0,1,0,1
661,3,1,3,0,2
662,2,0,3,0,0
663,2,0,2,1,1
664,2,1,2,1,1
665,1,0,0,0,0
666,1,0,1,1,1
667,3,1,1,0,0
668,3,0,0,0,1
669,2,0,1,1,1
670,1,1,0,0,1
671,2,1,1,0,0
672,3,0,1,1,2
673,2,0,2,1,1
674,1,0,1,0,0
675,2,1,2,1,2
676,2,0,2,0,0
677,1,0,2,1,0
678,1,0,1,0,-1
679,0,1,2,0,1
680,1,1,1,1,0
681,2,0,0,0,0
682,2,0,0,0,0
683,2,0,0,0,1
684,0,0,0,0,0
685,0,0,0,0,0
686,3,0,0,0,2
687,1,0,1,0,0
688,2,0,1,1,2
689,2,0,2,1,1
690,1,0,0,0,0
691,3,0,0,0,1
692,2,1,3,0,0
693,2,0,1,1,2
694,1,0,1,0,2
695,1,0,0,0,0
696,2,1,0,1,1
697,0,0,0,0,0
698,1,0,0,0,2
699,1,0,1,1,0
700,3,0,0,0,1
701,1,1,1,1,0
702,1,0,1,0,-1
703,2,0,0,0,2
704,1,0,1,1,-1
705,2,1,1,1,1
706,3,0,0,0,2
707,2,0,0,0,1
708,0,1,0,0,0
709,3,0,0,0,2
710,1,1,0,0,2
711,1,0,1,0,2
712,1,0,0,0,1
713,2,1,1,1,2
714,1,1,0,1,1
715,0,1,0,1,0
716,3,0,2,1,2
717,0,0,0,1,0
718,2,1,0,0,1
719,2,1,1,1,1
720,3,0,0,0,1
721,0,0,0,1,2
722,2,1,2,0,1
723,1,0,0,0,0
724,3,1,2,1,-1
725,2,0,1,0,1
726,3,1,0,0,1
727,3,1,3,1,1
728,0,0,0,0,0
729,0,0,1,0,0
730,2,0,0,0,1
731,3,0,1,1,1
732,2,1,2,1,2
733,0,0,0,0,-1
734,3,0,2,0,1
735,1,0,1,1,0
736,2,0,0,0,1
737,1,0,1,0,0
738,1,1,1,1,2
739,2,1,1,0,0
740,0,0,0,0,0
741,3,0,1,0,1
742,2,0,1,0,1
743,2,0,2,1,0
744,0,0,0,0,1
745,2,0,0,0,0
746,1,1,2,1,1
747,0,1,0,1,-2
748,1,1,2,0,1
749,1,1,1,1,1
750,2,1,2,1,1
751,1,0,0,0,0
752,0,0,3,1,1
753,2,1,1,1,1
754,2,0,2,1,2
755,2,0,1,1,2
756,1,0,1,0,1
757,2,0,0,0,0
758,1,1,1,0,1
759,1,0,0,0,0
760,1,0,1,1,1
761,0,1,2,0,1
762,2,1,1,0,2
763,2,0,0,1,1
764,2,1,0,1,0
765,1,0,0,1,0
766,1,0,2,1,0
767,1,0,0,0,0
768,2,1,1,0,1
769,0,0,0,0,1
770,1,0,0,0,1
771,1,0,1,0,1
772,3,0,1,1,1
773,1,0,1,0,1
774,2,0,0,0,0
775,1,0,1,0,0
776,3,1,3,0,-2
777,0,0,0,0,0
778,1,0,1,1,1
779,1,0,1,0,-1
780,0,0,0,0,0
781,2,0,1,1,1
782,2,0,0,0,0
783,1,0,0,0,1
784,3,0,0,0,1
785,1,0,1,0,0
786,0,1,1,0,1
787,1,0,0,0,2
788,1,0,0,0,1
789,3,1,0,0,0
790,0,0,1,0,-1
791,1,0,1,1,1
792,1,1,3,0,-1
793,1,1,1,1,-2
794,2,0,0,0,1
795,0,0,0,1,0
796,0,0,0,0,0
797,2,1,0,0,0
798,0,0,0,0,1
799,0,1,2,0,0
800,1,0,1,1,1
801,1,0,1,1,1
802,3,0,1,1,1
803,0,1,0,0,0
804,2,0,0,0,0
805,0,0,1,0,0
806,3,1,2,0,0
807,2,0,1,0,1
808,3,0,0,0,2
809,3,0,1,0,0
810,2,0,0,0,1
811,0,0,1,0,1
812,1,0,0,0,0
813,0,0,2,0,0
814,3,0,1,1,1
815,0,1,2,0,1
816,2,0,1,0,1
817,2,0,2,1,2
818,1,0,0,0,-1
819,0,0,0,0,0
820,0,0,0,0,0
821,1,1,1,0,2
822,1,0,1,1,0
823,2,1,1,1,1
824,2,0,1,0,2
825,0,1,1,0,1
826,2,0,1,0,0
827,0,0,0,0,0
828,3,0,2,1,1
829,1,0,1,0,2
830,0,0,0,0,0
831,2,0,0,0,1
832,0,1,0,0,1
833,0,0,1,0,0
834,0,1,2,0,0
835,1,0,1,0,0
836,3,1,1,1,1
837,2,1,0,0,1
838,0,0,1,0,0
839,1,0,1,1,2
840,1,0,0,0,1
841,1,0,2,1,0
842,1,0,1,0,2
843,1,0,2,1,0
844,0,0,1,1,0
845,1,1,1,0,2
846,1,1,2,1,0
847,2,0,1,0,-2
848,2,0,2,1,1
849,0,1,2,0,0
850,2,1,3,0,0
851,2,1,2,0,0
852,2,0,2,0,0
853,1,0,0,0,2
854,0,0,2,1,0
855,1,1,2,1,-2
856,0,0,0,0,0
857,0,0,0,0,1
858,1,0,1,0,2
859,2,0,0,0,1
860,3,1,0,0,-1
861,1,0,1,0,-2
862,2,1,2,1,2
863,3,1,2,0,1
864,2,1,0,0,1
865,1,1,1,0,0
866,0,1,2,0,-1
867,0,1,0,0,1
868,1,1,2,0,2
869,1,0,0,1,0
870,2,0,0,0,1
871,2,0,2,0,-1
872,0,1,3,1,0
873,2,1,1,0,2
874,1,0,1,0,2
875,0,1,2,0,2
876,2,1,0,0,1
877,2,0,1,1,1
878,1,1,2,0,1
879,1,0,1,0,-1
880,2,1,1,1,1
881,1,0,0,0,2
882,3,0,0,0,1
883,0,1,2,0,-1
884,1,0,1,1,1
885,1,0,1,0,-1
886,3,0,0,0,1
887,2,0,0,0,0
888,0,1,2,0,1
889,2,0,2,0,1
890,2,0,2,1,1
891,1,1,1,1,1
892,1,0,1,0,1
893,2,0,1,0,0
894,1,0,0,0,1
895,1,0,2,0,2
896,0,0,0,0,1
897,2,0,2,0,1
898,2,0,0,0,1
899,3,1,0,0,2
900,1,1,1,1,0
901,1,0,0,0,0
902,3,1,3,1,0
903,2,0,1,1,0
904,2,0,1,1,1
905,0,0,2,1,2
906,2,1,1,1,0
907,1,1,1,0,0
908,1,1,1,1,0
909,2,0,2,0,2
910,0,0,0,0,0
911,0,0,1,0,2
912,3,0,0,1,1
913,0,0,2,1,0
914,0,0,0,0,1
915,1,0,2,0,1
916,2,0,1,0,2
917,2,0,0,1,2
918,2,1,3,0,0
919,1,0,1,0,0
920,0,1,2,1,1
921,2,1,2,0,1
922,2,0,2,1,1
923,0,0,0,0,0
924,1,0,0,0,1
925,2,0,1,0,2
926,2,0,0,0,1
927,1,0,1,1,1
928,1,1,2,0,1
929,1,0,1,0,2
930,0,0,0,1,0
931,0,0,1,0,2
932,1,0,0,0,1
933,1,1,0,0,0
934,3,0,0,0,2
935,1,0,1,0,2
936,2,0,2,1,2
937,1,0,0,0,1
938,2,0,1,1,1
939,0,0,0,0,0
940,0,0,0,0,0
941,0,0,1,1,0
942,2,0,0,0,2
943,1,0,1,1,1
944,1,0,0,0,1
945,1,0,0,0,0
946,1,0,0,0,1
947,2,0,1,0,1
948,2,0,1,1,0
949,0,0,0,0,0
950,0,0,0,1,0
951,0,1,0,1,1
952,2,0,1,0,2
953,3,0,1,1,-1
954,2,1,1,0,1
955,2,1,1,0,0
956,1,1,0,0,1
957,2,0,0,0,2
958,0,0,2,1,0
959,3,0,0,0,0
960,1,0,0,0,0
961,2,1,0,0,1
962,2,1,2,1,2
963,1,0,1,0,-1
964,1,0,2,0,0
965,2,0,1,0,1
966,3,0,1,0,-2
967,1,0,2,0,1
968,3,0,0,0,1
969,2,1,2,1,1
970,0,1,1,1,-1
971,0,0,0,0,1
972,0,0,0,1,1
973,1,0,1,0,0
974,2,0,1,0,-1
975,2,1,2,1,0
976,2,0,0,0,2
977,0,0,2,0,2
978,2,0,0,0,1
979,0,0,0,0,0
980,1,0,0,0,1
981,1,1,2,1,2
982,2,0,0,1,1
983,1,0,0,0,-1
984,3,0,0,1,2
985,2,1,1,1,1
986,0,0,0,0,0
987,0,0,0,0,0
988,0,0,0,0,1
989,2,0,2,1,1
990,1,0,0,0,1
991,2,0,2,1,1
992,2,1,2,0,0
993,2,0,1,0,1
994,0,0,1,1,1
995,2,0,1,1,1
996,0,0,0,1,1
997,1,0,1,1,-1
998,1,0,1,0,0
999,1,0,0,1,1
1000,0,0,1,0,0
1001,0,0,0,0,0
1002,3,0,1,1,0
1003,2,0,0,0,1
1004,3,0,0,0,2
1005,0,1,0,1,1
1006,1,1,2,0,1
1007,1,0,0,0,1
1008,2,0,2,1,1
1009,1,0,0,0,1
1010,2,1,1,0,0
1011,0,0,0,1,1
1012,1,0,1,0,1
1013,2,1,1,0,2
1014,0,0,0,0,0
1015,2,1,2,0,-1
1016,2,1,0,0,0
1017,0,0,0,0,0
1018,2,0,0,0,1
1019,2,1,1,1,1
1020,0,0,0,0,-2
1021,1,1,1,0,0
1022,2,0,0,0,2
1023,2,0,0,0,1
1024,1,0,1,0,2
1025,2,0,0,0,1
1026,1,0,0,0,1
1027,0,0,1,0,-1
1028,0,0,0,0,0
1029,1,0,1,1,1
1030,0,1,2,0,0
1031,0,0,0,0,1
1032,2,1,0,1,2
1033,1,1,2,0,-2
1034,0,1,2,0,2
1035,0,0,2,0,0
1036,2,0,0,0,0
1037,1,0,1,1,0
1038,2,0,2,1,1
1039,0,0,1,1,0
1040,2,0,0,0,1
1041,0,1,2,0,1
1042,1,1,2,1,0
1043,1,1,1,1,1
1044,1,0,1,0,0
1045,1,0,0,0,0
1046,1,0,0,1,-2
1047,2,1,1,1,1
1048,0,0,0,0,-1
1049,3,0,1,1,1
1050,2,1,2,1,1
1051,0,0,0,0,0
1052,2,0,1,0,1
1053,1,0,0,0,2
1054,1,0,0,0,1
1055,2,1,3,1,0
1056,1,0,1,0,2
1057,0,0,0,0,0
1058,2,0,1,0,1
1059,2,1,1,0,0
1060,1,0,1,1,0
1061,0,1,2,0,0
1062,1,1,0,1,0
1063,1,0,2,1,0
1064,1,0,0,0,0
1065,2,0,0,0,1
1066,2,1,0,0,2
1067,2,0,0,0,1
1068,1,0,1,0,1
1069,1,0,1,0,1
1070,3,0,0,0,1
1071,1,0,1,1,0
1072,1,1,0,0,1
1073,3,0,1,1,2
1074,1,0,0,0,0
1075,2,1,2,0,-1
1076,1,0,0,0,1
1077,1,0,1,0,2
1078,2,0,0,0,1
1079,2,1,1,1,0
1080,0,1,2,1,0
1081,2,0,0,0,0
1082,1,1,0,1,2
1083,3,0,2,0,0
1084,2,1,1,1,0
1085,2,0,1,0,1
1086,1,0,0,0,2
1087,2,1,0,0,1
1088,0,0,0,0,0
1089,1,0,1,0,0
1090,1,1,2,1,0
1091,1,0,0,0,1
1092,0,0,0,0,0
1093,1,0,0,0,0
1094,2,1,2,1,1
1095,3,0,1,1,2
1096,2,0,1,0,2
1097,1,1,1,1,2
1098,0,0,1,0,1
1099,1,0,1,0,1
1100,0,1,0,0,-1
1101,3,0,0,1,1
1102,1,0,1,1,1
1103,2,0,0,0,2
1104,0,1,2,0,2
1105,0,1,1,1,0
1106,0,0,0,1,0
1107,2,0,0,0,1
1108,0,1,1,0,-1
1109,1,0,1,0,0
1110,0,0,2,0,2
1111,2,0,0,0,1
1112,2,0,0,0,2
1113,1,1,0,0,0
1114,2,0,2,0,0
1115,1,0,2,0,1
1116,1,0,1,1,0
1117,3,1,1,0,2
1118,2,0,2,1,2
1119,1,0,1,0,1
1120,1,1,1,1,1
1121,1,0,0,0,0
1122,1,1,1,0,-1
1123,0,0,0,1,0
1124,2,0,3,0,1
1125,2,1,2,1,2
1126,2,0,1,1,0
1127,1,1,2,1,2
1128,2,0,0,1,1
1129,0,0,0,0,1
1130,0,1,2,0,1
1131,1,1,2,0,0
1132,3,0,0,0,1
1133,1,0,0,0,1
1134,2,1,2,0,0
1135,1,0,0,1,0
1136,0,0,0,0,1
1137,1,0,0,0,0
1138,3,0,0,0,0
1139,2,1,2,1,0
1140,1,0,0,0,1
1141,2,0,0,0,2
